# time_s,radius_km
0.00,3766.09
10.00,3766.09
20.00,3766.09
30.00,3766.09
40.00,3766.09
50.00,3766.09
60.00,3766.09
70.00,3766.09
80.00,3766.09
90.00,3766.09
100.00,3766.96
110.00,3764.61
120.00,3765.09
130.00,3765.87
140.00,3765.58
150.00,3770.21
160.00,3783.69
170.00,3816.30
180.00,3844.80
190.00,3856.29
200.00,3860.13
210.00,3862.34
220.00,3863.43
230.00,3864.20
240.00,3863.94
250.00,3864.27
260.00,3864.02
270.00,3863.95
280.00,3863.88
290.00,3863.82
300.00,3863.79
310.00,3863.90
320.00,3864.39
330.00,3864.25
340.00,3864.13
350.00,3863.99
360.00,3863.58
370.00,3862.98
380.00,3862.18
390.00,3859.68
400.00,3854.89
410.00,3839.59
420.00,3809.88
430.00,3778.87
440.00,3757.48
450.00,3745.84
460.00,3739.06
470.00,3734.31
480.00,3730.60
490.00,3727.24
500.00,3723.83
510.00,3720.65
520.00,3716.71
530.00,3712.16
540.00,3705.96
550.00,3697.30
560.00,3684.62
570.00,3665.71
580.00,3627.32
590.00,3574.31
600.00,3516.57
610.00,3466.58
620.00,3428.11
630.00,3401.07
640.00,3382.24
650.00,3368.55
660.00,3357.56
670.00,3348.10
680.00,3339.38
690.00,3330.69
700.00,3321.97
710.00,3312.65
720.00,3302.10
730.00,3289.96
740.00,3274.95
750.00,3256.33
760.00,3234.09
770.00,3209.53
780.00,3185.18
790.00,3163.63
800.00,3144.99
